id_pais;nombre_tabla;nombre_origen;nombre_origen_erp
PE;m_asignacion_modulo;salesforce;bigmagic
PE;m_eje_territorial;salesforce;bigmagic
PE;m_estructura_comercial;salesforce;bigmagic
PE;m_modulo;salesforce;bigmagic
EC;m_asignacion_modulo;salesforce;bigmagic
EC;m_modulo;salesforce;bigmagic
MX;m_asignacion_modulo;salesforce;bigmagic
MX;m_modulo;salesforce;bigmagic
EC;m_eje_territorial;salesforce;bigmagic
MX;m_eje_territorial;salesforce;bigmagic
EC;m_estructura_comercial;salesforce;bigmagic
MX;m_estructura_comercial;salesforce;bigmagic
EC;m_modelo_atencion;salesforce;bigmagic
MX;m_modelo_atencion;salesforce;bigmagic
PE;m_modelo_atencion;salesforce;bigmagic
EC;t_visita;salesforce;bigmagic
MX;t_visita;salesforce;bigmagic
BO;t_visita;salesforce;bigmagic
PE;t_visita;salesforce;bigmagic
TH;t_visita;salesforce;bigmagic
ID;t_visita;bigmagic;bigmagic
IN;t_visita;bigmagic;bigmagic
VN;t_visita;bigmagic;bigmagic
EG;t_visita;bigmagic;bigmagic
CM;t_visita;bigmagic;bigmagic
TH;m_estructura_comercial;salesforce;bigmagic
ID;m_estructura_comercial;bigmagic;bigmagic
IN;m_estructura_comercial;bigmagic;bigmagic
VN;m_estructura_comercial;bigmagic;bigmagic
EG;m_estructura_comercial;bigmagic;bigmagic
CM;m_estructura_comercial;bigmagic;bigmagic
TH;m_modelo_atencion;salesforce;bigmagic
ID;m_modelo_atencion;bigmagic;bigmagic
IN;m_modelo_atencion;bigmagic;bigmagic
VN;m_modelo_atencion;bigmagic;bigmagic
EG;m_modelo_atencion;bigmagic;bigmagic
CM;m_modelo_atencion;bigmagic;bigmagic
TH;m_eje_territorial;salesforce;bigmagic
ID;m_eje_territorial;bigmagic;bigmagic
IN;m_eje_territorial;bigmagic;bigmagic
VN;m_eje_territorial;bigmagic;bigmagic
EG;m_eje_territorial;bigmagic;bigmagic
CM;m_eje_territorial;bigmagic;bigmagic
TH;m_asignacion_modulo;salesforce;bigmagic
